CATEGORY,SUBCATEGORY,QUESTION,ANSWER,TAGS,DIFFICULTY_LEVEL
Permits_and_Approvals,Costs_1,How much do permits cost?,"Permit costs vary widely by location and project size. Typical ranges: Building permits: ₦250,000-₦2,500,000+. Total permit costs: 1-3% of construction value. Get estimates from local building department.",permit_costs_building_permits_percentage_construction_local_estimates,beginner_25
Utilities,Water_and_Sewer,How important are utilities to land value?,"Utilities dramatically affect land value. Land with water/sewer connections can be worth 50-100% more than land requiring wells/septic. Always verify utility availability before buying.",utilities_land_value_water_sewer_wells_septic_availability,beginner_26
Utilities,Utility_Extensions,How much does it cost to extend utilities?,"Utility extension costs vary greatly: Water/sewer extensions: $10,000-$50,000+ per lot. Electrical service: $5,000-$15,000. Always get estimates before buying land that needs extensions.",utility_extensions_costs_water_sewer_electrical_estimates,beginner_27
Utilities,Wells_and_Septic,What about wells and septic systems?,"Rural areas often use wells (water) and septic systems (sewage). Costs: Well drilling: $3,000-$15,000. Septic system: $5,000-$20,000. Soil conditions affect septic feasibility.",wells_septic_systems_rural_areas_drilling_costs_soil_conditions,beginner_28
Utilities,Percolation_Test,What is a percolation test?,"Percolation (perc) test measures how quickly soil absorbs water. Required for septic system permits. Poor drainage = no septic allowed = potential deal killer for rural land development.",percolation_test_perc_test_soil_drainage_septic_permits_deal_killer,beginner_29
Access_and_Roads,Legal_Access,What constitutes legal access to land?,"Legal access requires: deeded right-of-way, public road frontage, or court-ordered easement. Landlocked property (no legal access) is nearly worthless. Always verify access rights in deed.",legal_access_right_of_way_public_road_easements_landlocked,beginner_30
Access_and_Roads,Road_Frontage,What is road frontage?,"Road frontage is the length of property border that touches a road. More frontage usually means higher value. Commercial properties especially need good road frontage for visibility and access.",road_frontage_property_border_commercial_value_visibility_access,beginner_31
Access_and_Roads,Private_Roads,What about private roads?,"Private roads are maintained by property owners, not government. Maintenance costs are shared among users. Get road maintenance agreements in writing. Poor roads reduce property values.",private_roads_maintenance_costs_road_agreements_property_values,beginner_32
Access_and_Roads,Easements_1,What are easements?,"Easements give others rights to use part of your land. Common types: utility easements (power lines), access easements (neighbor access), drainage easements. Easements run with the land forever.",easements_utility_access_drainage_permanent_rights,beginner_33
Soil_and_Topography,Soil_Types,What soil types are best for building?,"Good building soils: sandy loam, clay (stable but drainage issues), gravel. Poor soils: organic soils, expansive clay, loose sand. Soil reports from geotechnical engineers recommended for large projects.",soil_types_building_suitability_sandy_loam_clay_geotechnical,beginner_34
Soil_and_Topography,Slope_1,How does slope affect development?,"Gentle slopes (0-10%) are ideal. Moderate slopes (10-25%) increase costs. Steep slopes (25%+) are expensive to develop and may have restrictions. Flat land may have drainage issues.",slope_development_costs_gentle_moderate_steep_drainage_issues,beginner_35
Soil_and_Topography,Drainage_1,Why is drainage important?,"Poor drainage causes: foundation problems, septic system failures, flooding, mosquito breeding. Good drainage protects buildings and makes land more usable and valuable.",drainage_foundation_problems_septic_failure_flooding_land_value,beginner_36
Investment_Strategies,Land_Banking_1,What is land banking?,"Land banking is buying land in the path of development and holding for future appreciation. Typically hold 5-20+ years. Benefits: lower taxes, minimal maintenance. Risks: no income, carrying costs.",land_banking_development_path_appreciation_holding_period_carrying_costs,intermediate_2
Investment_Strategies,Subdivision_1,When does subdividing make sense?,"Subdividing is profitable when: large parcel in growing area, zoning allows division, infrastructure available or affordable, market demand for smaller lots, profit exceeds subdivision costs ($50,000-$200,000+).",subdividing_large_parcel_growing_area_infrastructure_market_demand,intermediate_3
Investment_Strategies,Agricultural_Investment,What makes good agricultural land?,"Good farmland has: fertile soil, adequate water rights, favorable climate, transportation access to markets, stable local agricultural economy. Returns: 2-6% appreciation plus 2-4% cash rent.",agricultural_land_fertile_soil_water_rights_transportation_cash_rent,intermediate_4
Investment_Strategies,Recreational_Land,What is recreational land investment?,"Recreational land includes hunting property, lake lots, mountain cabins, camping areas. Often personal use plus investment. Factors: natural amenities, access, recreational activities, development potential.",recreational_land_hunting_property_lake_lots_natural_amenities_development,intermediate_5
Financing,Land_Loans,How does land financing work?,"Raw land loans typically require: 20-50% down payment, higher interest rates (1-3% above home loans), shorter terms (5-20 years), stricter qualification. Improved land gets better terms.",land_financing_down_payment_interest_rates_loan_terms_raw_vs_improved,beginner_37
Financing,Down_Payment_1,How much down payment for land?,"Down payment requirements: Raw land: 25-50%. Improved land: 20-30%. Seller financing often available with lower down payments. Cash purchases common for land deals.",down_payment_raw_land_improved_land_seller_financing_cash_purchases,beginner_38
Financing,Seller_Financing,What is seller financing for land?,"Seller acts as bank: buyer makes payments directly to seller instead of getting traditional loan. Benefits: lower down payment, flexible terms, faster closing. Seller gets steady income stream.",seller_financing_owner_financing_flexible_terms_steady_income,beginner_39
Legal_Considerations,Deed_Types,What types of deeds are there?,"Common deed types: Warranty deed (best protection), Quitclaim deed (limited protection), Special warranty deed (middle protection). Warranty deeds provide most legal protection for buyers.",deed_types_warranty_dee
